Tarih;PM10 ( µg/m³ );SO2 ( µg/m³ );CO ( µg/m³ );NO2 ( µg/m³ );O3 ( µg/m³ )
31.01.2020;27,55;5,77;115,98;54,86;41,44
30.01.2020;69,2;5,41;251,81;74,83;10,74
29.01.2020;78,13;23,56;247,92;76,01;20,36
28.01.2020;67,09;13,75;224,86;81,41;15,39
27.01.2020;76,4;9,94;256,73;79,18;19,76
26.01.2020;68,74;11,71;249,86;70,2;25,29
25.01.2020;82,57;16,74;319,52;76,5;30,81
24.01.2020;18,21;5,22;84,73;46,67;51,31
23.01.2020;36,54;9,56;152,92;69,13;25,86
22.01.2020;38,95;9,66;196,25;60,98;40,7
21.01.2020;17,65;6,02;105,64;45,44;49,29
20.01.2020;25,98;7,14;122,69;55,21;44,4
19.01.2020;38,71;6,39;179,36;60,64;37,14
18.01.2020;40,74;11,03;164,78;63,16;27,61
17.01.2020;31,3;7,03;124,91;58,5;41,13
16.01.2020;32,85;8,37;138,39;61,74;33,57
15.01.2020;73,55;10,15;281,59;81,4;19,26
14.01.2020;;;;;
13.01.2020;;;;;
12.01.2020;72,86;6,03;268,46;67,88;20,51
11.01.2020;82,25;9,58;385,36;75,99;22,82
10.01.2020;25,22;5,39;154,23;60,81;33,18
9.01.2020;30,19;6,2;167,45;56,94;25,87
8.01.2020;39,77;3,98;245,8;73,71;22,02
7.01.2020;33,52;3,23;196,02;71,39;24,39
6.01.2020;24,26;4,09;160,45;64,07;22,76
5.01.2020;65,6;5,9;244,73;60,56;32,49
4.01.2020;69,69;4;252,54;69,98;17,25
3.01.2020;25,71;3,76;110,62;66,37;20,97
2.01.2020;33,32;7,81;112,69;68,14;16,62
1.01.2020;74,42;5,59;254,5;61,6;21,12
31.12.2019;70,28;4,77;260,31;73,17;23,22
30.12.2019;47,8;2,91;196,06;71,63;23,46
29.12.2019;;3,81;107,34;55,15;21,07
28.12.2019;17,1;5,86;155,63;61,85;7,84
27.12.2019;87,26;7,1;487,74;76,49;19,64
26.12.2019;;2,46;118,88;62,36;27,83
25.12.2019;11,59;2,35;97,02;57,12;33,24
24.12.2019;17,78;2;133,19;62,47;30,68
23.12.2019;;7,37;171,18;76,09;23,78
22.12.2019;;5,06;273,14;76,28;12,25
21.12.2019;50,03;4,77;293,55;75;14,73
20.12.2019;54,01;4,87;346,91;87,74;12,06
19.12.2019;111,49;5,64;399,94;90,97;14,71
18.12.2019;62,08;6,4;362,34;78,04;13,4
17.12.2019;74,82;25,17;358,54;79,77;11,8
16.12.2019;75,52;6,8;472,63;76,99;14,17
15.12.2019;31,84;2,41;273,26;63,13;33,64
14.12.2019;12,03;2,06;155,72;60,19;22,9
13.12.2019;;2,49;135,02;61,89;26,74
12.12.2019;25,82;3,55;94,87;59,7;28,7
11.12.2019;25,48;5,19;91,18;57,23;27,41
10.12.2019;36,49;4,35;156,29;68,11;27,1
9.12.2019;30,44;5,15;107,72;58,64;30,33
8.12.2019;50,33;6,94;161,43;66,05;28,78
7.12.2019;52,87;6,96;201,22;70,67;29,17
6.12.2019;32,21;9,63;138,78;60,17;38,31
5.12.2019;24,52;6,83;111,93;56,47;30,83
4.12.2019;54,26;6,04;221,33;79,27;13,06
3.12.2019;55,96;4,03;252,84;69,11;27,72
2.12.2019;21,23;2,62;118,36;59,57;33,39
1.12.2019;63,11;2,17;223,21;62,41;20,54
